section,metric,value
validation,status,pass
boundary,tag,boundary_1001x10
boundary,runs,10010
boundary,stable_runs,9900
boundary,ambiguous_runs,110
boundary,stable_decision_flips,0
boundary,stable_violations,0
boundary,max_y_error,0.0000000002
output_accuracy,score_error_violations,0
output_accuracy,all_score_error_violations,0
output_accuracy,max_y_error,0.0000000002
speed,tag,speed_repetition_summary
speed,baseline_profile,default+baseline_non_rescale
speed,baseline_eval_only_ms_mean,52.7847
speed,baseline_eval_only_ms_std,3.4348
speed,baseline_total_ms_mean,147.0721
speed,baseline_total_ms_std,8.3772
speed,selected_profile,default+rescale_aware
speed,selected_runs,5
speed,selected_eval_only_ms_mean,47.3964
speed,selected_eval_only_ms_std,4.0001
speed,selected_total_ms_mean,117.7348
speed,selected_total_ms_std,9.4823
speed,selected_eval_only_speedup_mean,1.1159
speed,selected_eval_only_speedup_std,0.0515
speed,selected_total_speedup_mean,1.2515
speed,selected_total_speedup_std,0.0485
speed,best_eval_only_speedup,1.1999
speed,best_total_speedup,1.3327
speed_unsafe,profile,short_chain_3+baseline_non_rescale
speed_unsafe,eval_only_speedup_mean,2.3403
speed_unsafe,total_speedup_mean,1.9040
speed_unsafe,max_decision_flips,30
speed_unsafe,max_y_error,5.0197e-01
wdbc,inference_tag,wdbc_default_rescale_aware
wdbc,test_samples,171
wdbc,plain_accuracy,0.9473684211
wdbc,ckks_accuracy,0.9473684211
wdbc,decision_match_rate,1.0000000000
wdbc,decision_flips,0
wdbc,score_error_violations,0
wdbc,max_y_error,0.0000002078
wdbc,mean_eval_only_ms,42.9856001520
wdbc,mean_total_ms,111.3772588772
wdbc_profile,tag,wdbc_profile_sweep
wdbc_profile,selected_profile,default+rescale_aware
wdbc_profile,selected_ckks_accuracy,0.9473684211
wdbc_profile,selected_decision_flips,0
wdbc_profile,selected_score_error_violations,0
wdbc_profile,selected_eval_only_ms,42.9856001520
wdbc_profile,selected_total_ms,111.3772588772
wdbc_profile,selected_eval_only_speedup,1.1668859751
wdbc_profile,selected_total_speedup,1.3057241508
wdbc_unsafe,profile,short_chain_3+baseline_non_rescale
wdbc_unsafe,ckks_accuracy,0.3742690058
wdbc_unsafe,decision_flips,110
wdbc_unsafe,score_error_violations,171
wdbc_unsafe,max_y_error,0.5961896640
wdbc_unsafe,eval_only_speedup,2.4676391495
wdbc_unsafe,total_speedup,1.9083288944
tabular_suite,workloads,8
tabular_suite,datasets,4
tabular_suite,models,2
tabular_suite,safe_profile,default+rescale_aware
tabular_suite,safe_pass,8
tabular_suite,safe_decision_flips,0
tabular_suite,safe_score_error_violations,0
tabular_suite,safe_max_y_error,0.0000002080
tabular_suite,unsafe_profile,short_chain_3+baseline_non_rescale
tabular_suite,unsafe_rejected,8
tabular_suite,unsafe_decision_flips,1153
tabular_suite,unsafe_score_error_violations,2306
tabular_suite,unsafe_total_speedup_min,1.5236
tabular_suite,unsafe_total_speedup_max,2.2417
tabular_suite,unsafe_eval_only_speedup_min,2.0919
tabular_suite,unsafe_eval_only_speedup_max,3.0502
