number,citation_key,title,official_or_primary_locator,cited_sections,status
1,cheon2017ckks,Homomorphic Encryption for Arithmetic of Approximate Numbers,https://doi.org/10.1007/978-3-319-70694-8_15,I;II,VERIFIED
2,dathathri2019chet,CHET: An Optimizing Compiler for Fully-Homomorphic Neural-Network Inferencing,https://doi.org/10.1145/3314221.3314628,I;II,VERIFIED
3,dathathri2020eva,EVA: An Encrypted Vector Arithmetic Language and Compiler for Efficient Homomorphic Computation,https://doi.org/10.1145/3385412.3386023,I;II,VERIFIED
4,lee2022hecate,HECATE: Performance-Aware Scale Optimization for Homomorphic Encryption Compiler,https://doi.org/10.1109/CGO53902.2022.9741265,I;II,VERIFIED
5,lee2023elasm,ELASM: Error-Latency-Aware Scale Management for Fully Homomorphic Encryption,https://www.usenix.org/conference/usenixsecurity23/presentation/lee-yongwoo,I;II,VERIFIED
6,viand2023heco,HECO: Fully Homomorphic Encryption Compiler,https://www.usenix.org/conference/usenixsecurity23/presentation/viand,II,VERIFIED
7,cheon2024dacapo,DaCapo: Automatic Bootstrapping Management for Efficient Fully Homomorphic Encryption,https://www.usenix.org/conference/usenixsecurity24/presentation/cheon,II,VERIFIED
8,ao2024autofhe,AutoFHE: Automated Adaption of CNNs for Efficient Evaluation over FHE,https://www.usenix.org/conference/usenixsecurity24/presentation/ao,II,VERIFIED
9,alexandru2024applicationaware,Application-Aware Approximate Homomorphic Encryption: Configuring FHE for Practical Use,https://doi.org/10.62056/ayl83z10k,II,VERIFIED
10,xu2025fheagent,FHE-Agent: Automating CKKS Configuration for Practical Encrypted Inference via an LLM-Guided Agentic Framework,https://doi.org/10.48550/arXiv.2511.18653,II,PREPRINT_VERIFIED
11,bossuat2025security,Security Guidelines for Implementing Homomorphic Encryption,https://doi.org/10.62056/anxra69p1,IV,VERIFIED
12,lecun1998gradient,Gradient-Based Learning Applied to Document Recognition,https://doi.org/10.1109/5.726791,V,VERIFIED
