configuration_id,candidate_internal_name,candidate_display_name,path_internal_name,path_display_name,candidate_family,chain_length,scale_bits,log_n,slots,q_prime_count,p_prime_count
chain7_scale45_N14_default__rescale,default,chain7_scale45_N14_default,rescale_aware,rescale,baseline,7,45,14,8192,7,1
chain7_scale45_N14_default__non-rescale,default,chain7_scale45_N14_default,baseline_non_rescale,non-rescale,baseline,7,45,14,8192,7,1
chain7_scale42_N14__rescale,scale42,chain7_scale42_N14,rescale_aware,rescale,scale_reduced_chain7,7,42,14,8192,7,1
chain7_scale42_N14__non-rescale,scale42,chain7_scale42_N14,baseline_non_rescale,non-rescale,scale_reduced_chain7,7,42,14,8192,7,1
chain7_scale40_N14__rescale,scale40,chain7_scale40_N14,rescale_aware,rescale,scale_reduced_chain7,7,40,14,8192,7,1
chain7_scale40_N14__non-rescale,scale40,chain7_scale40_N14,baseline_non_rescale,non-rescale,scale_reduced_chain7,7,40,14,8192,7,1
chain7_scale38_N14__rescale,scale38,chain7_scale38_N14,rescale_aware,rescale,scale_reduced_chain7,7,38,14,8192,7,1
chain7_scale38_N14__non-rescale,scale38,chain7_scale38_N14,baseline_non_rescale,non-rescale,scale_reduced_chain7,7,38,14,8192,7,1
chain8_scale45_N15__rescale,deep_chain_8_scale45,chain8_scale45_N15,rescale_aware,rescale,deep_chain,8,45,15,16384,8,1
chain8_scale45_N15__non-rescale,deep_chain_8_scale45,chain8_scale45_N15,baseline_non_rescale,non-rescale,deep_chain,8,45,15,16384,8,1
chain9_scale45_N15__rescale,deep_chain_9_scale45,chain9_scale45_N15,rescale_aware,rescale,deep_chain,9,45,15,16384,9,1
chain9_scale45_N15__non-rescale,deep_chain_9_scale45,chain9_scale45_N15,baseline_non_rescale,non-rescale,deep_chain,9,45,15,16384,9,1
chain6_scale42_N14__rescale,short_chain_6_scale42,chain6_scale42_N14,rescale_aware,rescale,reduced_chain6,6,42,14,8192,6,1
chain6_scale42_N14__non-rescale,short_chain_6_scale42,chain6_scale42_N14,baseline_non_rescale,non-rescale,reduced_chain6,6,42,14,8192,6,1
chain6_scale40_N14__rescale,short_chain_6_scale40,chain6_scale40_N14,rescale_aware,rescale,reduced_chain6,6,40,14,8192,6,1
chain6_scale40_N14__non-rescale,short_chain_6_scale40,chain6_scale40_N14,baseline_non_rescale,non-rescale,reduced_chain6,6,40,14,8192,6,1
chain6_scale38_N14__rescale,short_chain_6_scale38,chain6_scale38_N14,rescale_aware,rescale,reduced_chain6,6,38,14,8192,6,1
chain6_scale38_N14__non-rescale,short_chain_6_scale38,chain6_scale38_N14,baseline_non_rescale,non-rescale,reduced_chain6,6,38,14,8192,6,1
chain5_scale40_N14__rescale,short_chain_5,chain5_scale40_N14,rescale_aware,rescale,aggressive_reduced_chain,5,40,14,8192,5,1
chain5_scale40_N14__non-rescale,short_chain_5,chain5_scale40_N14,baseline_non_rescale,non-rescale,aggressive_reduced_chain,5,40,14,8192,5,1
chain3_scale35_N14__rescale,short_chain_3,chain3_scale35_N14,rescale_aware,rescale,aggressive_reduced_chain,3,35,14,8192,3,1
chain3_scale35_N14__non-rescale,short_chain_3,chain3_scale35_N14,baseline_non_rescale,non-rescale,aggressive_reduced_chain,3,35,14,8192,3,1
