system,artifact_state,official_repository,official_archive,revision,license,audit_status,attempts,reason_code
CHET,PAPER_ONLY,NR,NOT_REPORTED,NR,NR,RELATED_WORK_ONLY,0,ARTIFACT_UNAVAILABLE
EVA,OFFICIAL_REPOSITORY,https://github.com/microsoft/EVA,NOT_REPORTED,v1.0.1@4cd3254c9c51340ae30c451495ce5378135758c0,MIT,PASS,2,PASS_BUILD_AND_SCOPED_NATIVE_REPLAY
HECO,OFFICIAL_REPOSITORY,https://github.com/MarbleHE/HECO,NOT_REPORTED,artifact@cf396f05029930b6476c10266853b2099e23bd32,Apache-2.0,PASS,3,PASS_BUILD_SMOKE_LLVM17
HEIR,OFFICIAL_REPOSITORY,https://github.com/google/heir,NOT_REPORTED,v2026.08.01@cb7a7a30bb4d995b50e33bb5cd82ff7434db3656,Apache-2.0 with MIT components,REPRODUCTION_BLOCKED,3,THREE_RECOVERIES_EXHAUSTED_PYTHON_CONFIG_MISSING
ANT-ACE,OFFICIAL_REPOSITORY,https://github.com/ant-research/ace-compiler,NOT_REPORTED,cgo2025-artifacts@15c95a7346d89355d68d5bf4fe8ab3b952740e1a,NO_LICENSE_DECLARED_IN_PINNED_REPOSITORY,PASS,1,PASS_COMPILER_BUILD_SMOKE_HIGH_RESOURCE_BENCHMARK_NOT_RUN
HEaaN.MLIR,PAPER_ONLY,NR,NOT_REPORTED,NR,NR,RELATED_WORK_ONLY,0,ARTIFACT_UNAVAILABLE
HECATE,OFFICIAL_REPOSITORY,https://github.com/corelab-src/hecate-compiler,NOT_REPORTED,post-publication-main@aedca73dac27b86044721781b9fca8d12e665876,MIT,REPRODUCTION_BLOCKED,3,THREE_RECOVERIES_EXHAUSTED_BROKEN_MLIR_CUDA_ENVIRONMENT
ELASM,OFFICIAL_REPOSITORY,https://github.com/corelab-src/elasm,NOT_REPORTED,main@3c37c11b29ca480525bb6681e0254bdf90029425,Apache-2.0,PASS,1,PASS_BUILD_SMOKE
HEILP,PAPER_ONLY,NR,NOT_REPORTED,NR,NR,REPRODUCTION_BLOCKED,0,ARTIFACT_UNAVAILABLE
DaCapo,OFFICIAL_REPOSITORY,https://github.com/corelab-src/dacapo,NOT_REPORTED,main@4616402710f39df3e5f5bd7930a6c036025aaac3,MIT,PASS,2,PASS_BUILD_SMOKE_LLVM18
HALO,OFFICIAL_REPOSITORY,https://github.com/corelab-src/hecate-compiler,NOT_REPORTED,post-publication-main@aedca73dac27b86044721781b9fca8d12e665876,MIT,REPRODUCTION_BLOCKED,3,SHARED_REPOSITORY_THREE_RECOVERIES_EXHAUSTED_MODE_NOT_REACHED
ReSBM,OFFICIAL_REPOSITORY,https://github.com/ant-research/ace-compiler,NOT_REPORTED,post-artifact-main@929e9b621f11bebbaa9ec1e215f4a52e3d07109b,NO_LICENSE_DECLARED_IN_REPOSITORY,PASS,3,PASS_COMPILER_BUILD_SMOKE_NATIVE_MODE_OUTPUT_BLOCKED_BY_CREDENTIAL_GATED_INPUT
Orbit,OFFICIAL_ARCHIVE,https://github.com/cmu-cryptosystems/Orbit,https://doi.org/10.5281/zenodo.20739724,zenodo-v2@f364122b77be482bfe902c20a89755cee2060c5a,LICENSE_AMBIGUOUS_ZENODO_CC_BY_4_0_AND_ARCHIVE_BSD_3_CLAUSE,PASS,1,PASS_BUILD_TEST_AND_SCHEDULE_SMOKE_FULL_RUNTIME_HARDWARE_BLOCKED
AutoFHE,OFFICIAL_REPOSITORY,https://github.com/human-analysis/AutoFHE,NOT_REPORTED,main@a43af0453e5237e2ff4a5630a10ece1a062b9d88,MIT,PASS,2,PASS_BINARY_BUILD_SMOKE_DIFFERENT_MODEL
Orion,OFFICIAL_REPOSITORY,https://github.com/baahl-nyu/orion,NOT_REPORTED,main@be8a827350a147d610fe3bb998b5bea8de814ff8,MIT,PASS,1,PASS_BACKEND_BUILD_AND_PACKAGE_TEST
LOHEN,PAPER_ONLY,NR,NOT_REPORTED,NR,NR,REPRODUCTION_BLOCKED,1,ARTIFACT_UNAVAILABLE
SLOTHE,OFFICIAL_REPOSITORY,https://github.com/SNUSOR-PECT/SLOTHE,NOT_REPORTED,master@33ccff3519c9df1dc255420e8a1bfe4da501b1f0,NO_LICENSE_DECLARED_IN_REPOSITORY,PASS,1,PASS_COMPILER_PLUGIN_BUILD_SMOKE_DIFFERENT_MODEL
Application-Aware Approximate HE,PAPER_ONLY,NR,NOT_REPORTED,NR,NR,NOT_COMPARABLE,0,POSITIONING_ONLY_NOT_PERFORMANCE_TUNER
FHE-Agent,PAPER_ONLY,NR,NOT_REPORTED,NR,NR,REPRODUCTION_BLOCKED,0,ARTIFACT_UNAVAILABLE_PREPRINT
FHECrafter,PAPER_ONLY,NR,NOT_REPORTED,NR,NR,REPRODUCTION_BLOCKED,0,ARTIFACT_UNAVAILABLE
FlipGuard,OFFICIAL_REPOSITORY,LOCAL_RESEARCH_REPOSITORY,NOT_REPORTED,flipguard-thesis-v1.0.0-rc2@6c5f8b234f9f9da91a189fa0f2dc180bb996abf5,LICENSE_DECISION_REQUIRED,PASS,1,PASS_FROZEN_RESEARCH_ARTIFACT
