system,workload_mapping,portability,latency_comparability
CHET,NOT_APPLICABLE,NOT_EVALUATED,NOT_AVAILABLE
EVA,SAME_TASK_DIFFERENT_GRAPH,NATIVE_ONLY,NATIVE_DIAGNOSTIC_ONLY
HECO,NOT_APPLICABLE,NOT_EVALUATED,NOT_AVAILABLE
HEIR,NOT_APPLICABLE,NOT_EVALUATED,NOT_AVAILABLE
ANT-ACE,NOT_APPLICABLE,NOT_EVALUATED,NOT_AVAILABLE
HEaaN.MLIR,NOT_APPLICABLE,NOT_EVALUATED,NOT_AVAILABLE
HECATE,SAME_TASK_DIFFERENT_GRAPH,NOT_EVALUATED,NOT_AVAILABLE
ELASM,SAME_TASK_DIFFERENT_GRAPH,NOT_EVALUATED,NOT_AVAILABLE
HEILP,NOT_APPLICABLE,NOT_EVALUATED,NOT_AVAILABLE
DaCapo,NOT_APPLICABLE,NOT_EVALUATED,NOT_AVAILABLE
HALO,NOT_APPLICABLE,NOT_EVALUATED,NOT_AVAILABLE
ReSBM,NOT_APPLICABLE,NOT_EVALUATED,NOT_AVAILABLE
Orbit,NOT_APPLICABLE,NOT_EVALUATED,NOT_AVAILABLE
AutoFHE,NOT_APPLICABLE,NOT_EVALUATED,NOT_AVAILABLE
Orion,SAME_TASK_DIFFERENT_GRAPH,NOT_EVALUATED,NOT_AVAILABLE
LOHEN,NOT_APPLICABLE,NOT_EVALUATED,NOT_AVAILABLE
SLOTHE,NOT_APPLICABLE,NOT_EVALUATED,NOT_AVAILABLE
Application-Aware Approximate HE,NOT_APPLICABLE,NOT_EVALUATED,NOT_AVAILABLE
FHE-Agent,NOT_APPLICABLE,NOT_EVALUATED,NOT_AVAILABLE
FHECrafter,NOT_APPLICABLE,NOT_EVALUATED,NOT_AVAILABLE
FlipGuard,EXACT_SHARED_GRAPH,NATIVE_ONLY,NATIVE_DIAGNOSTIC_ONLY
