arm,candidate_id,decision_flips,fresh_key_runs,mean_total_ms,outcome,provider,raw_observations,record_type,reserve_policy_violations,retuning,security_state,status,unique_inputs,workload
direct,provider_direct_synthesizer_ab7d6d8fcdf10d4e,0,3,65.07174885733329,SELECTED,FlipGuard direct,1500,validation,0,,PASS,SAFE,500,shared_polynomial_threshold_v8
deep_chain_8_scale45,provider_bounded_catalog_3aaf661a70fb4fde,0,3,317.8693810279999,SELECTED,Security-V2 bounded catalog,1500,validation,0,,PASS,SAFE,500,shared_polynomial_threshold_v8
deep_chain_9_scale45,provider_bounded_catalog_e676624a7a581a78,0,3,372.25588057599975,SELECTED,Security-V2 bounded catalog,1500,validation,0,,PASS,SAFE,500,shared_polynomial_threshold_v8
heir_generated_lattigo_v8,heir_generated_lattigo_v8,0,3,,SELECTED,Google HEIR,1500,validation,0,,PASS,SAFE,500,shared_polynomial_threshold_v8
direct,provider_direct_synthesizer_ab7d6d8fcdf10d4e,0,3,,LOCKED_AUDIT_PASS,FlipGuard direct,,locked_audit,0,False,,SAFE,500,shared_polynomial_threshold_v8
catalog_fastest_safe,provider_bounded_catalog_3aaf661a70fb4fde,0,3,,LOCKED_AUDIT_PASS,Security-V2 bounded catalog,,locked_audit,0,False,,SAFE,500,shared_polynomial_threshold_v8
scale30,eva_v8_scale30_N13_QP190_48d1fb12243f,0,3,,SAFE,Microsoft EVA,,locked_audit,0,0,,SAFE,500,shared_polynomial_threshold_v8
scale40,eva_v8_scale40_N14_QP240_cfaf36c21df8,0,3,,SAFE,Microsoft EVA,,locked_audit,0,0,,SAFE,500,shared_polynomial_threshold_v8
lattigo_v6_2,heir_lattigo_v6_2_shared_polynomial,0,3,,SAFE,Google HEIR,,locked_audit,0,0,,SAFE,500,shared_polynomial_threshold_v8
openfhe,heir_openfhe_shared_polynomial,0,3,,SAFE,Google HEIR,,locked_audit,0,0,,SAFE,500,shared_polynomial_threshold_v8
