population,dataset_id,model_id,partition_instances,catalog_over_direct_total_ratio,catalog_over_direct_eval_only_ratio
development_seed0,banknote,linear_poly3,1,5.013474295372225,4.504356520009981
development_seed0,banknote,mlp_square_linear_score,1,1.9160831594100434,1.4587850139283511
development_seed0,digits_binary,linear_poly3,1,4.99220593756354,4.536413407543349
development_seed0,digits_binary,mlp_square_linear_score,1,2.049480134606135,1.8020389312938008
development_seed0,iris_binary,linear_poly3,1,5.1712084276157,4.715799261613747
development_seed0,iris_binary,mlp_square_linear_score,1,1.9221940156907582,1.4908678942181792
development_seed0,mnist_pool16,linear_poly3,1,5.067716275098078,4.361726339552782
development_seed0,mnist_pool16,mlp_square_linear_score,1,1.9569845909592363,1.6047028488956165
development_seed0,wdbc,linear_poly3,1,4.967161612065418,4.433804330129229
development_seed0,wdbc,mlp_square_linear_score,1,1.974204149322098,1.5153111185800006
confirmatory_seeds1_4,banknote,linear_poly3,4,5.3582566709339705,4.8622263250886375
confirmatory_seeds1_4,banknote,mlp_square_linear_score,4,1.9462059783084815,1.5061173014794906
confirmatory_seeds1_4,digits_binary,linear_poly3,4,4.898780093681885,4.364324386884012
confirmatory_seeds1_4,digits_binary,mlp_square_linear_score,4,1.935009125199056,1.5236545582377343
confirmatory_seeds1_4,iris_binary,linear_poly3,4,5.249555912420967,4.66311605941289
confirmatory_seeds1_4,iris_binary,mlp_square_linear_score,4,1.8854071320782373,1.4436205658241685
confirmatory_seeds1_4,mnist_pool16,linear_poly3,4,4.914352633932909,4.45162285986022
confirmatory_seeds1_4,mnist_pool16,mlp_square_linear_score,4,1.9500864421158712,1.5362865241831827
confirmatory_seeds1_4,wdbc,linear_poly3,4,5.089072094408091,4.514833224913598
confirmatory_seeds1_4,wdbc,mlp_square_linear_score,4,1.9567658578925393,1.5328349812074897
combined_descriptive,banknote,linear_poly3,5,5.287453599109094,4.788447032323925
combined_descriptive,banknote,mlp_square_linear_score,5,1.9401437657638687,1.496529549750587
combined_descriptive,digits_binary,linear_poly3,5,4.917324332256031,4.398211840522758
combined_descriptive,digits_binary,mlp_square_linear_score,5,1.9573800453523074,1.575658316513579
combined_descriptive,iris_binary,linear_poly3,5,5.23379202459628,4.6736054035329655
combined_descriptive,iris_binary,mlp_square_linear_score,5,1.8927077509599404,1.4529487002268775
combined_descriptive,mnist_pool16,linear_poly3,5,4.944649493337762,4.433496540507635
combined_descriptive,mnist_pool16,mlp_square_linear_score,5,1.9514641239211326,1.5497323597953856
combined_descriptive,wdbc,linear_poly3,5,5.064452949911994,4.4985098374677595
combined_descriptive,wdbc,mlp_square_linear_score,5,1.9602411497292551,1.5293140707836883
