population,split_seed,dataset_id,model_id,workload_id,direct_candidate_id,catalog_candidate_id,catalog_over_direct_total_ratio,catalog_over_direct_eval_only_ratio,paired_raw_observations
development_seed0,0,banknote,linear_poly3,split_seed_0/banknote/linear_poly3,synth_repair_scale_1_rescale_N13_Q7_S24_d1ff36e37428,deep_chain_8_scale45__rescale_aware,5.013474295372225,4.504356520009981,36
development_seed0,0,banknote,mlp_square_linear_score,split_seed_0/banknote/mlp_square_linear_score,synth_analysis_minimum_rescale_N13_Q6_S20_f48255b39c11,short_chain_6_scale40__baseline_non_rescale,1.9160831594100434,1.4587850139283511,36
development_seed0,0,digits_binary,linear_poly3,split_seed_0/digits_binary/linear_poly3,synth_repair_scale_1_rescale_N13_Q7_S24_81046dc5ebf3,deep_chain_8_scale45__rescale_aware,4.99220593756354,4.536413407543349,36
development_seed0,0,digits_binary,mlp_square_linear_score,split_seed_0/digits_binary/mlp_square_linear_score,synth_analysis_minimum_rescale_N13_Q6_S20_391fa6104874,short_chain_6_scale38__rescale_aware,2.049480134606135,1.8020389312938008,36
development_seed0,0,iris_binary,linear_poly3,split_seed_0/iris_binary/linear_poly3,synth_analysis_minimum_rescale_N13_Q7_S20_486a1fc2f0d5,deep_chain_8_scale45__rescale_aware,5.171208427615701,4.715799261613747,36
development_seed0,0,iris_binary,mlp_square_linear_score,split_seed_0/iris_binary/mlp_square_linear_score,synth_analysis_minimum_rescale_N13_Q6_S20_925be61044e9,short_chain_6_scale40__baseline_non_rescale,1.9221940156907582,1.4908678942181792,36
development_seed0,0,mnist_pool16,linear_poly3,split_seed_0/mnist_pool16/linear_poly3,synth_repair_scale_1_rescale_N13_Q7_S24_ec91b41756ca,deep_chain_8_scale45__rescale_aware,5.067716275098078,4.361726339552782,36
development_seed0,0,mnist_pool16,mlp_square_linear_score,split_seed_0/mnist_pool16/mlp_square_linear_score,synth_analysis_minimum_rescale_N13_Q6_S20_2cd04f49f17a,short_chain_6_scale42__baseline_non_rescale,1.9569845909592363,1.6047028488956165,36
development_seed0,0,wdbc,linear_poly3,split_seed_0/wdbc/linear_poly3,synth_repair_scale_1_rescale_N13_Q7_S24_4e105abcba07,deep_chain_8_scale45__rescale_aware,4.967161612065418,4.433804330129229,36
development_seed0,0,wdbc,mlp_square_linear_score,split_seed_0/wdbc/mlp_square_linear_score,synth_analysis_minimum_rescale_N13_Q6_S20_8f3d79a39ca0,short_chain_6_scale42__baseline_non_rescale,1.974204149322098,1.5153111185800006,36
confirmatory_seeds1_4,1,banknote,linear_poly3,split_seed_1/banknote/linear_poly3,synth_repair_scale_1_rescale_N13_Q7_S24_851ef4e949b6,deep_chain_8_scale45__rescale_aware,5.374838430515303,4.80513875202313,36
confirmatory_seeds1_4,1,banknote,mlp_square_linear_score,split_seed_1/banknote/mlp_square_linear_score,synth_analysis_minimum_rescale_N13_Q6_S20_87eb4549e3bd,short_chain_6_scale38__baseline_non_rescale,1.915707978584788,1.4619637375492154,36
confirmatory_seeds1_4,1,digits_binary,linear_poly3,split_seed_1/digits_binary/linear_poly3,synth_repair_scale_1_rescale_N13_Q7_S24_b766b1f184e7,deep_chain_8_scale45__rescale_aware,4.9892120278524255,4.381437070557485,36
confirmatory_seeds1_4,1,digits_binary,mlp_square_linear_score,split_seed_1/digits_binary/mlp_square_linear_score,synth_analysis_minimum_rescale_N13_Q6_S20_d5a26d9ac7cc,short_chain_6_scale38__baseline_non_rescale,1.9074250966253767,1.5225811711869102,36
confirmatory_seeds1_4,1,iris_binary,linear_poly3,split_seed_1/iris_binary/linear_poly3,synth_analysis_minimum_rescale_N13_Q7_S20_d2d0b13c1583,deep_chain_8_scale45__rescale_aware,5.220431200556882,4.624161246780258,36
confirmatory_seeds1_4,1,iris_binary,mlp_square_linear_score,split_seed_1/iris_binary/mlp_square_linear_score,synth_analysis_minimum_rescale_N13_Q6_S20_a26fec41a3b2,short_chain_6_scale40__baseline_non_rescale,1.850580832747875,1.4354640411239419,36
